topology,epsilon,n_agents,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,0.02,10,0.395,0.015458816254810716,14.141,0.0,0.605,1000
complete,0.02,20,0.391,0.015431104950715617,11.759,0.0,0.609,1000
complete,0.05,10,0.577,0.015622771841129857,13.403,0.0,0.423,1000
complete,0.05,20,0.619,0.015357050498061143,11.236,0.0,0.381,1000
complete,0.1,10,0.796,0.012742998077375669,11.518,0.0,0.204,1000
complete,0.1,20,0.854,0.011166198995181844,9.798,0.0,0.146,1000
cycle,0.02,10,0.338,0.014958475858188226,374.822,0.285,0.377,1000
cycle,0.02,20,0.108,0.009815090422405696,667.882,0.75,0.142,1000
cycle,0.05,10,0.858,0.011037934589405756,178.27,0.004,0.138,1000
cycle,0.05,20,0.93,0.008068457101577721,346.222,0.044,0.026,1000
cycle,0.1,10,0.967,0.005648982209212561,60.85,0.0,0.033,1000
cycle,0.1,20,0.997,0.0017294507798720387,90.536,0.0,0.003,1000
wheel,0.02,10,0.52,0.0157987341265052,145.364,0.046,0.434,1000
wheel,0.02,20,0.65,0.015083103128998356,312.746,0.142,0.208,1000
wheel,0.05,10,0.798,0.01269629867323544,63.93,0.0,0.202,1000
wheel,0.05,20,0.944,0.007270763371201131,107.152,0.0,0.056,1000
wheel,0.1,10,0.932,0.00796090447122687,30.511,0.0,0.068,1000
wheel,0.1,20,0.992,0.0028170906978654425,37.198,0.0,0.008,1000
er,0.02,10,0.476,0.01579316307773715,258.154,0.135,0.389,1000
er,0.02,20,0.752,0.01365635383255721,320.076,0.09,0.158,1000
er,0.05,10,0.848,0.011353237423748348,112.619,0.002,0.15,1000
er,0.05,20,0.942,0.007391616873188169,81.982,0.0,0.058,1000
er,0.1,10,0.951,0.006826346021115546,44.68,0.0,0.049,1000
er,0.1,20,0.989,0.0032983329122452166,31.388,0.0,0.011,1000
ws,0.02,10,0.541,0.015758140753274162,153.018,0.044,0.415,1000
ws,0.02,20,0.578,0.015617810345883958,442.235,0.251,0.171,1000
ws,0.05,10,0.82,0.012149074038789953,62.442,0.0,0.18,1000
ws,0.05,20,0.96,0.00619677335393187,125.008,0.0,0.04,1000
ws,0.1,10,0.939,0.007568289106528638,28.066,0.0,0.061,1000
ws,0.1,20,0.993,0.002636474919281427,40.59,0.0,0.007,1000
ba,0.02,10,0.524,0.01579316307773715,201.555,0.076,0.4,1000
ba,0.02,20,0.599,0.015498354751392161,442.333,0.253,0.148,1000
ba,0.05,10,0.803,0.012577400367325513,84.405,0.0,0.197,1000
ba,0.05,20,0.97,0.0053944415837044735,141.007,0.0,0.03,1000
ba,0.1,10,0.947,0.007084560677981384,37.485,0.0,0.053,1000
ba,0.1,20,0.995,0.002230470802319547,45.892,0.0,0.005,1000
