topology,oracle,adoption_fraction,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,none,0.5,0.6333333333333333,0.062212300796308524,13.1,0.0,0.36666666666666664,60
complete,frozen0.7,0.5,0.8333333333333334,0.04811252243246881,23.916666666666668,0.0,0.16666666666666666,60
complete,live,0.5,0.6333333333333333,0.062212300796308524,15.183333333333334,0.0,0.36666666666666664,60
complete,frozen0.7,1.0,0.8666666666666667,0.04388537257362555,16.566666666666666,0.0,0.13333333333333333,60
complete,live,1.0,0.6,0.06324555320336758,12.533333333333333,0.0,0.4,60
cycle,none,0.5,0.8666666666666667,0.04388537257362555,176.66666666666666,0.0,0.13333333333333333,60
cycle,frozen0.7,0.5,0.9833333333333333,0.016527194200715044,97.1,0.0,0.016666666666666666,60
cycle,live,0.5,0.8666666666666667,0.04388537257362555,118.5,0.0,0.13333333333333333,60
cycle,frozen0.7,1.0,1.0,0.0,45.416666666666664,0.0,0.0,60
cycle,live,1.0,0.8666666666666667,0.04388537257362555,74.88333333333334,0.0,0.13333333333333333,60
